[05/02/2012 10:27:27 AM][INFO][clSchool][LoadAllSchool][00000000-0000-0000-0000-000000000000] LoadAllSchool method called
[05/02/2012 10:27:28 AM][DEBUG][clSchool][LoadAllSchool][00000000-0000-0000-0000-000000000000] Debug LoadAllSchool called
[05/02/2012 10:27:44 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[05/02/2012 10:27:44 AM][DEBUG][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Debug LoadStaffDetailsByUserNameAndPassword Method
[05/02/2012 10:27:49 AM][INFO][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Execute LoadAllSchoolYear Method
[05/02/2012 10:27:49 AM][DEBUG][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Debug LoadAllSchoolYear Method
[05/02/2012 10:28:10 AM][INFO][Ledger][GetChildProgEnrollmentFeeDetail][00000000-0000-0000-0000-000000000000] GetChildProgEnrollmentFeeDetail method called
[05/02/2012 10:28:10 AM][DEBUG][Ledger][GetChildProgEnrollmentFeeDetail][00000000-0000-0000-0000-000000000000] Debug GetChildProgEnrollmentFeeDetail called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetChildProgEnrollmentFeeDetail][00000000-0000-0000-0000-000000000000] GetChildProgEnrollmentFeeDetail method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetChildProgEnrollmentFeeDetail][00000000-0000-0000-0000-000000000000] Debug GetChildProgEnrollmentFeeDetail called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
[05/02/2012 10:28:10 AM][INFO][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] GetLastTransactionDate method called
[05/02/2012 10:28:10 AM][DEBUG][clLedger][GetLastTransactionDate][00000000-0000-0000-0000-000000000000] Debug GetLastTransactionDate called
