[6/12/2013 11:57:06 AM][INFO][clSchool][LoadAllSchool][00000000-0000-0000-0000-000000000000] LoadAllSchool method called
[6/12/2013 11:57:06 AM][DEBUG][clSchool][LoadAllSchool][00000000-0000-0000-0000-000000000000] Debug LoadAllSchool called
[6/12/2013 11:57:58 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:57:58 AM][DEBUG][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Debug LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:03 AM][INFO][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Execute LoadAllSchoolYear Method
[6/12/2013 11:58:03 AM][DEBUG][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Debug LoadAllSchoolYear Method
[6/12/2013 11:58:11 AM][INFO][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Execute LoadAllSchoolYear Method
[6/12/2013 11:58:11 AM][DEBUG][clSchoolYear][LoadAllSchoolYear][00000000-0000-0000-0000-000000000000] Debug LoadAllSchoolYear Method
[6/12/2013 11:58:11 AM][INFO][clStaff][LoadStaff][00000000-0000-0000-0000-000000000000] Execute LoadStaff Method
[6/12/2013 11:58:11 AM][DEBUG][clStaff][LoadStaff][00000000-0000-0000-0000-000000000000] Debug LoadStaff Method
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
[6/12/2013 11:58:12 AM][INFO][clStaff][LoadStaffDetailsByUserNameAndPassword][00000000-0000-0000-0000-000000000000] Execute LoadStaffDetailsByUserNameAndPassword Method
[6/12/2013 11:58:12 AM][INFO][clStaff][ISStaffinCurrentYear][00000000-0000-0000-0000-000000000000] ISStaffinCurrentYear function debug
